id,plume_id,mask_pixels,swir_nd_true_contrast,swir_nd_shifted_contrast,b11_true_contrast,b11_shifted_contrast,b12_true_contrast,b12_shifted_contrast,visible_true_contrast,visible_shifted_contrast
240893,tan20250610t075544c12s4001-AV,11815,0.6972490954989367,-0.06974163078278912,-0.09452405523540164,0.49456569923827337,-0.37672961591669996,0.34771768169393386,0.3261527428258485,0.5614863169602692
66254,GAO20240509t182131p0000-B,17552,0.3159480271401686,-0.08151113472011512,-0.46194882703275275,-0.20423333778702743,-0.4235904847414191,-0.14900678850533122,-0.2920211896975661,-0.4452167391121196
61271,GAO20230916t180820p0000-D,2487,0.3912333795015457,-0.3445864331578488,-0.4984790371515363,-0.498483258821714,-0.5308470490747706,-0.5015211013143661,-0.5349965256880215,-0.48018050036830257
64396,GAO20240420t202505p0000-A,798,-1.1830500506041004,-0.25988086417375533,0.8749212786407735,0.697962017554453,0.9736915028036776,0.8369290038982624,1.4000585399164847,0.6386635440766
993,GAO20191020t184019p0000-A,3479,0.6989615198010763,-0.1531460098361489,-0.7021714672049748,0.27357284884746785,-0.6847415044432682,0.2302051268025204,-0.5528579050579917,0.28271644585620703
117973,av320250803t151829-G,2342,-0.9735739627539484,0.5626621292559139,0.3728287771911068,-0.6038097085649666,0.7084187387293477,-0.5846614769047538,0.589261573004212,-0.5886948220035938
89082,ang20171007t194907-A,1214,-1.063360982851846,-0.29164530683671297,-0.4414265264600967,0.41904177751765004,0.4450928869725713,0.35368681322724815,0.9515792167019075,0.8628763429263313
239822,tan20250606t060145c36s4001-C,29055,-0.6065936027717084,0.2299114704163939,0.015549384441179514,-0.3045188793067312,0.32408912855136424,-0.31369994143057695,0.4411436296731098,-0.19409947749416753
187240,emi20241015t210013p14007-A,39850,-0.4205353916509163,-0.06847932338472533,0.7889085880299407,-0.46206075847243994,0.7387981097187832,-0.4595590326763616,0.4780616583260942,-0.1995790184273946
13780,GAO20200804t180923p0000-A,2577,-1.8276567968590847,-0.4376787251562735,0.9297550943216799,0.14587735592813494,1.3700104095177656,0.2771264082685004,1.6639583225408816,0.5239450883555167
