plume_id,status,reason
GAO20231004t194247p0000-A,ok,
GAO20231004t195313p0000-A,ok,
GAO20231004t200437p0000-A,ok,
GAO20231005t181320p0000-A,ok,
GAO20231005t183933p0000-A,ok,
GAO20231005t190023p0000-C,ok,
GAO20231005t191603p0000-A,ok,
GAO20231005t193008p0000-A,ok,
GAO20240415t172403p0000-A,ok,
GAO20240415t172403p0000-B,ok,
GAO20240415t172403p0000-C,ok,
GAO20240415t172403p0000-D,ok,
GAO20240415t175128p0000-A,ok,
GAO20240415t175128p0000-C,ok,
GAO20240415t175128p0000-D,ok,
GAO20240415t175128p0000-E,ok,
GAO20240415t181759p0000-A,ok,
GAO20240415t181759p0000-B,ok,
GAO20240415t181759p0000-C,ok,
GAO20240415t181759p0000-D,ok,
GAO20240419t194827p0000-A,ok,
GAO20240419t194827p0000-B,ok,
GAO20240419t195757p0000-A,ok,
GAO20240419t195757p0000-C,ok,
GAO20240419t201413p0000-A,ok,
GAO20240419t201413p0000-B,ok,
GAO20240419t202218p0000-A,ok,
GAO20240419t202218p0000-C,ok,
GAO20240419t202218p0000-D,ok,
GAO20240419t203812p0000-B,ok,
GAO20240419t204232p0000-A,ok,
GAO20240419t204232p0000-C,ok,
GAO20240419t212052p0000-A,ok,
GAO20240419t212838p0000-A,ok,
GAO20240419t214327p0000-A,ok,
GAO20240419t221217p0000-A,ok,
